id_document,isbn,titre,auteur,genre,support,annee_publication,code_site,prix_achat
52,9781914293498,Une saison douce,Jean-Paul Dubois,BD,Livre,2010,MED-TOU,18.49
146,9782732750163,Nord perdu,Marjane Satrapi,Poesie,Livre,2013,MED-TOU,10.15
318,9784643872430,Reparer les vivants,Zep,Jeunesse,CD,2007,MED-SEC,28.83
31,9784933594200,Le chant des vivants tome 2,Herve Le Tellier,Manga,Livre,2007,MED-ARM,41.17
294,9782902605170,Le fil rouge I,Zep,Policier,Livre,2023,MED-ARM,13.1
41,9786579318018,Reparer les vivants,Alice Zeniter,Jeunesse,Livre,2000,MED-SEC,34.71
37,9782363643283,Rivages,Riad Sattouf,Roman,CD,2008,MED-ROU,24.09
342,9784751631383,Rivages,Herve Le Tellier,BD,Livre numerique,2021,MED-VIL,18.79
233,9788201328080,Mille soleils,Alice Zeniter,Policier,Livre numerique,2023,MED-VIL,20.46
107,9782297185914,Terres promises volume 3,Marjane Satrapi,Documentaire,Livre,2005,MED-ROU,38.99
65,9786753577956,Les corps flottants tome 2,Pierre Lemaitre,Policier,DVD,2019,MED-ROU,35.49
308,9787601369076,Le bruit du temps,Fred Vargas,Roman,Livre,2002,MED-ROU,27.98
374,9781135956494,L'anomalie volume 3,Pierre Lemaitre,Essai,Livre,2006,MED-VIL,29.92
254,9781728210718,Mille soleils,Emmanuel Lepage,Jeunesse,DVD,2020,MED-ARM,26.14
359,9782046250654,Reparer les vivants I,Riad Sattouf,BD,Livre,2006,MED-LIL,5.96
234,9789426735152,Rivages tome 2,Zep,Policier,Livre,2016,MED-ARM,23.61
419,9789366226797,Ceux qui restent,Marjane Satrapi,Policier,Livre numerique,2013,MED-ROU,30.75
33,9788111606156,Reparer les vivants tome 2,Maylis de Kerangal,Manga,DVD,2017,MED-ROU,19.56
185,9784851527813,La maison vide I,Nicolas Mathieu,Jeunesse,Livre numerique,2000,MED-LIL,37.41
230,9786797809054,Les jours heureux volume 3,Jean-Paul Dubois,Policier,Livre,2022,MED-ROU,43.47
83,9789410419623,Ceux qui restent,Leila Slimani,Poesie,CD,2007,MED-VIL,32.77
371,9781453947404,Les hautes collines tome 2,Pierre Lemaitre,Essai,DVD,2013,MED-TOU,13.37
63,9787012636212,Mille soleils tome 2,Leila Slimani,Roman,Livre numerique,2014,MED-VIL,39.59
302,9785705456224,L'anomalie,Zep,Jeunesse,Livre numerique,2015,MED-ROU,12.96
223,9784028620929,Rivages,Herve Le Tellier,Roman,CD,2011,MED-TOU,21.26
290,9783538089288,Les corps flottants,Virginie Despentes,BD,CD,2013,MED-ROU,43.57
138,9789558628092,La maison vide,Zep,Roman,DVD,2013,MED-TOU,38.98
136,9783334388230,Le fil rouge I,Marjane Satrapi,Documentaire,Livre,2024,MED-ARM,19.23
242,9782180822407,Terres promises I,Delphine de Vigan,Policier,Livre,2021,MED-TOU,28.21
106,9787599211547,Nord perdu,Leila Slimani,Jeunesse,DVD,2018,MED-ARM,43.85
118,9781725358491,Le dernier train volume 3,Emmanuel Lepage,BD,DVD,2001,MED-ARM,36.75
203,9781679825883,Le bruit du temps volume 3,Herve Le Tellier,Policier,CD,2012,MED-TOU,38.46
103,9784477674398,Sous les branches,Emmanuel Lepage,Manga,Livre,2012,MED-VIL,35.89
250,9782665403737,Nord perdu I,Virginie Despentes,Poesie,DVD,2000,MED-ROU,19.66
332,9783572598584,Une saison douce,Maylis de Kerangal,Documentaire,Livre,1999,MED-ROU,16.94
244,9781593626332,L'atelier des jours volume 3,Fred Vargas,BD,Livre numerique,2004,MED-TOU,20.13
368,9787898516640,Rivages,Nicolas Mathieu,Roman,Livre,2009,MED-LIL,43.19
251,9781320002748,Les corps flottants,Marjane Satrapi,Poesie,Livre,2003,MED-ARM,38.74
45,9783705045627,Nord perdu,Emmanuel Lepage,Essai,Livre,,MED-TOU,37.58
135,9783877734269,L'anomalie,Herve Le Tellier,Documentaire,Livre,1998,MED-TOU,15.62
296,9789227392385,Terres promises I,Emmanuel Lepage,BD,Livre,,MED-VIL,25.77
331,9788808664471,Nord perdu I,Pierre Lemaitre,Poesie,Livre numerique,2013,MED-VIL,18.29
177,9789731011756,L'atelier des jours II,Alice Zeniter,BD,Livre,2012,MED-SEC,39.29
214,9784880517359,Le chant des vivants II,Nicolas Mathieu,Poesie,Livre numerique,2012,MED-SEC,36.24
121,9789736192455,Rivages volume 3,Nicolas Mathieu,Jeunesse,DVD,2006,MED-VIL,16.96
90,9783864806395,Le dernier train volume 3,Delphine de Vigan,Essai,Livre numerique,2035,MED-ARM,30.4
311,9786754401851,Ceux qui restent,Pierre Lemaitre,Policier,CD,2025,MED-LIL,35.94
300,9783144603005,Terres promises,Pierre Lemaitre,Documentaire,Livre,2013,MED-VIL,11.81
261,9782748274714,La part du fleuve tome 2,Delphine de Vigan,Policier,CD,2013,MED-SEC,27.4
166,9781728224050,Les corps flottants,Nicolas Mathieu,Policier,CD,2016,MED-ROU,13.27
299,9781857207788,L'anomalie I,Maylis de Kerangal,Documentaire,Livre,1999,MED-VIL,20.3
143,9781940082608,Rivages,Delphine de Vigan,Essai,CD,2019,MED-VIL,32.75
198,9787942917046,Mille soleils tome 2,Fred Vargas,Policier,Livre,2005,MED-LIL,36.25
194,9787862701289,Les corps flottants tome 2,Zep,Roman,Livre,2007,MED-VIL,12.55
221,9789784037751,Le fil rouge,Virginie Despentes,Poesie,Livre,1998,MED-ARM,39.08
326,9787766767255,Ceux qui restent,Nicolas Mathieu,Roman,Livre,2023,MED-TOU,11.09
235,9782842151104,Une saison douce tome 2,Marjane Satrapi,Poesie,Livre,2011,MED-TOU,30.83
141,9788543511980,Reparer les vivants,Fred Vargas,Documentaire,CD,2007,MED-ROU,42.52
388,9781694066887,Nord perdu,Pierre Lemaitre,Jeunesse,Livre,2023,MED-VIL,18.31
112,9786228466999,Le chant des vivants I,Fred Vargas,Essai,DVD,2001,MED-TOU,30.62
99,9783432808710,Sous les branches,Herve Le Tellier,Roman,Livre,2017,MED-TOU,41.85
301,9784377023372,Le dernier train,Maylis de Kerangal,Jeunesse,Livre,2024,MED-ROU,13.46
167,9782801746978,Reparer les vivants,Delphine de Vigan,Policier,Livre,2013,MED-ARM,39.47
201,9783218237280,Rivages II,Maylis de Kerangal,Manga,CD,2013,MED-ROU,16.42
379,9781618818846,Le chant des vivants,Nicolas Mathieu,Policier,Livre,2022,MED-ROU,41.0
270,9785807120657,L'atelier des jours volume 3,Nicolas Mathieu,Manga,Livre,,MED-VIL,17.52
54,9787018300812,Terres promises volume 3,Maylis de Kerangal,Poesie,CD,2018,MED-VIL,18.81
267,9787008282706,L'anomalie tome 2,Marjane Satrapi,Poesie,CD,2013,MED-ROU,43.35
353,9782667453276,Sous les branches,Virginie Despentes,BD,Livre,2015,MED-ARM,28.11
352,9787833442141,La part du fleuve I,Emmanuel Lepage,Manga,Livre,2009,MED-SEC,11.19
182,9788985972083,L'atelier des jours I,Leila Slimani,Documentaire,CD,2003,MED-TOU,8.37
310,9786722486114,Nord perdu,Marjane Satrapi,Manga,Livre,2024,MED-ARM,38.99
229,9789482656350,Ceux qui restent II,Leila Slimani,Poesie,Livre,2001,MED-SEC,21.42
386,9785660628230,L'atelier des jours,Leila Slimani,Manga,Livre,2014,MED-LIL,25.27
356,9789337462620,Reparer les vivants I,Nicolas Mathieu,Manga,Livre,2012,MED-ARM,19.68
321,9782227481815,Le fil rouge volume 3,Delphine de Vigan,BD,Livre,2010,MED-ARM,24.22
316,9789488898894,Sous les branches,Leila Slimani,Jeunesse,DVD,2016,MED-LIL,39.18
173,9782732927501,Nord perdu tome 2,Alice Zeniter,Documentaire,Livre,2002,MED-SEC,44.13
256,9789556375873,Sous les branches tome 2,Emmanuel Lepage,Roman,CD,2004,MED-VIL,10.02
43,9781367377426,La maison vide,Marjane Satrapi,Manga,Livre,2001,MED-ARM,15.83
344,9787905623553,La maison vide II,Emmanuel Lepage,Policier,Livre,2021,MED-LIL,24.58
364,9785330692457,Ceux qui restent II,Pierre Lemaitre,Roman,Livre,2023,MED-VIL,26.56
307,9785881566780,La maison vide,Fred Vargas,Manga,Livre numerique,2008,MED-SEC,38.1
336,9788388188442,Le dernier train,Emmanuel Lepage,Manga,CD,2014,MED-SEC,30.07
169,9787112050959,Le dernier train,Leila Slimani,Poesie,Livre,1999,MED-VIL,25.18
303,9781692944901,Les hautes collines,Pierre Lemaitre,Roman,CD,1998,MED-VIL,20.65
367,9789160913597,Reparer les vivants volume 3,Alice Zeniter,Jeunesse,Livre,2013,MED-SEC,22.31
329,9788661948313,Les jours heureux tome 2,Riad Sattouf,Poesie,CD,2017,MED-VIL,31.79
26,9784445925714,Reparer les vivants,Riad Sattouf,Policier,DVD,2021,MED-TOU,16.43
80,9786480877059,L'anomalie tome 2,Maylis de Kerangal,Policier,DVD,2015,MED-LIL,8.27
313,9785218262430,La part du fleuve I,Fred Vargas,BD,CD,2025,MED-LIL,43.27
153,9785493663362,Le fil rouge,Emmanuel Lepage,Essai,Livre,2018,MED-SEC,37.47
32,9783408887563,Le dernier train,Marjane Satrapi,Policier,Livre,2004,MED-ARM,10.35
255,9786768151688,Sous les branches II,Nicolas Mathieu,Roman,DVD,2002,MED-ARM,26.12
202,9787180599923,Terres promises volume 3,Virginie Despentes,Manga,Livre,2022,MED-ROU,12.04
365,9784204897436,Les corps flottants,Pierre Lemaitre,Poesie,Livre,2000,MED-SEC,38.39
82,9785174142654,L'anomalie tome 2,Marjane Satrapi,Policier,Livre numerique,1998,MED-ARM,26.07
400,9788681525644,L'atelier des jours II,Zep,Policier,Livre numerique,2001,MED-VIL,40.73
155,9789368326218,Reparer les vivants II,ZEP,Poesie,Livre,2005,MED-TOU,29.76
402,9788879435740,Les jours heureux,Zep,Poesie,CD,2009,MED-ARM,35.23
51,9782347255701,Le dernier train volume 3,Leila Slimani,Essai,Livre,2010,MED-SEC,41.83
278,9785387107681,La maison vide,Alice Zeniter,Jeunesse,Livre,2013,MED-SEC,43.06
181,9785521750154,Reparer les vivants,Leila Slimani,Essai,Livre,2023,MED-SEC,33.85
72,9785467938517,La part du fleuve tome 2,Maylis de Kerangal,Roman,Livre,2002,MED-TOU,28.65
281,9788527228418,La part du fleuve volume 3,Pierre Lemaitre,Manga,Livre numerique,,MED-LIL,7.54
15,9787064661963,L'anomalie II,Zep,BD,DVD,2002,MED-ROU,20.35
170,9782992164649,Rivages tome 2,Herve Le Tellier, Policier ,Livre,2016,MED-TOU,10.19
271,9783195718600,Terres promises,Jean-Paul Dubois,Manga,DVD,2017,MED-ARM,31.8
309,9782193330281,Les corps flottants tome 2,Fred Vargas,Documentaire,Livre,2007,MED-VIL,34.33
9,9789421018738,Nord perdu,Zep,Essai,Livre,2017,MED-ROU,15.77
78,9786816171755,Mille soleils,Pierre Lemaitre,Policier,Livre numerique,2024,MED-ROU,27.61
232,9789522323157,Terres promises II,Emmanuel Lepage,Roman,Livre numerique,2019,MED-ROU,32.15
205,9781739890679,Les hautes collines tome 2,Alice Zeniter,Roman,Livre numerique,2025,MED-ROU,14.05
6,9787967767083,L'atelier des jours I,Jean-Paul Dubois,BD,Livre,2016,MED-ROU,39.06
68,9783315390044,Ceux qui restent volume 3,Pierre Lemaitre,BD,CD,2015,MED-ROU,10.68
124,9788214774149,Ceux qui restent volume 3,Nicolas Mathieu,Poesie,DVD,2017,MED-VIL,19.65
418,9787169023252,Le bruit du temps,Maylis de Kerangal,Manga,Livre,2003,MED-LIL,31.69
175,9782343512366,Le dernier train tome 2,Jean-Paul Dubois,Roman,Livre numerique,,MED-LIL,14.72
349,9785891019925,L'anomalie I,Jean-Paul Dubois,Poesie,Livre numerique,2020,MED-ROU,8.78
96,9788808585686,L'anomalie,Emmanuel Lepage,BD,CD,2002,MED-TOU,12.44
10,9786540804836,L'atelier des jours volume 3,Jean-Paul Dubois,Policier,Livre,2023,MED-SEC,33.8
248,9787333238501,Rivages,Emmanuel Lepage,Jeunesse,Livre,2004,MED-TOU,42.73
92,9785482248323,L'anomalie I,Catherine Meurisse,Jeunesse,Livre,2007,MED-SEC,34.24
211,9786527536040,Une saison douce,Maylis de Kerangal,Manga,Livre,2022,MED-SEC,26.56
46,9786066442674,Le dernier train,Alice Zeniter,BD,Livre,1998,MED-LIL,40.54
192,9786987540404,Une saison douce tome 2,Jean-Paul Dubois, Roman ,DVD,2016,MED-VIL,7.4
114,9783764439032,Mille soleils,Emmanuel Lepage,Documentaire,Livre numerique,2001,MED-ARM,39.46
48,9783081189957,Les corps flottants I,Emmanuel Lepage,Policier,Livre,2008,MED-TOU,29.87
132,9788822550727,L'anomalie,Jean-Paul Dubois,BD,Livre numerique,2011,MED-LIL,16.85
347,9784964104089,Nord perdu,NICOLAS MATHIEU,Poesie,DVD,2008,MED-ARM,44.13
193,9786010890824,La part du fleuve II,Alice Zeniter,Essai,Livre,2005,MED-LIL,5.9
89,9782096720003,La maison vide tome 2,Catherine Meurisse,Roman,Livre,2000,MED-SEC,38.77
25,9783386860032,Comme un lundi tome 2,Fred Vargas,Jeunesse,Livre,2019,MED-VIL,12.27
315,9786713825804,Terres promises,Maylis de Kerangal,Documentaire,Livre,2017,MED-LIL,29.92
291,9788137267985,La maison vide II,Zep,Roman,Livre,2001,MED-ARM,40.67
273,9786070672325,Comme un lundi volume 3,Riad Sattouf,Documentaire,Livre,1999,MED-TOU,16.03
226,9786470995771,Sous les branches,Jean-Paul Dubois,Essai,Livre,2013,MED-ROU,32.11
259,9785667552469,Les corps flottants,Maylis de Kerangal,Documentaire,CD,2035,MED-VIL,9.1
262,9784052190940,L'atelier des jours II,Zep,Poesie,Livre,2008,MED-TOU,32.8
162,9785069781508,La maison vide,Maylis de Kerangal,Jeunesse,Livre,2005,MED-SEC,13.64
225,9781897903932,Le dernier train,Fred Vargas,Essai,DVD,2018,MED-LIL,41.95
77,9786449160103,La part du fleuve II,Marjane Satrapi,Poesie,Livre,2018,MED-LIL,
241,9783279945195,Les hautes collines,Pierre Lemaitre,Essai,Livre,2003,MED-VIL,39.95
380,9788394900919,L'atelier des jours,Jean-Paul Dubois,Jeunesse,Livre numerique,2022,MED-SEC,24.66
393,9787465744441,Rivages II,NICOLAS MATHIEU,Roman,Livre,2025,MED-SEC,13.84
381,9781851806411,Les jours heureux volume 3,Herve Le Tellier,Poesie,Livre,2015,MED-ARM,41.81
53,9787987382701,Les jours heureux volume 3,Leila Slimani,Poesie,Livre,2006,MED-ARM,36.01
23,9786714205543,Les jours heureux,Alice Zeniter,BD,Livre,2005,MED-TOU,38.94
373,9787492988530,Le chant des vivants I,Marjane Satrapi,Policier,CD,2024,MED-ROU,16.3
71,9782291274085,Les corps flottants,Alice Zeniter,Poesie,DVD,1998,MED-LIL,23.89
239,9781234653671,L'anomalie II,Zep,Poesie,Livre,2017,MED-TOU,6.74
163,9788538546079,Le chant des vivants volume 3,Fred Vargas,Manga,Livre,2004,MED-LIL,18.82
168,9784973165368,Les corps flottants tome 2,Riad Sattouf,Manga,Livre,2013,MED-TOU,17.9
355,9786299882448,Sous les branches,Marjane Satrapi,Essai,CD,2010,MED-ARM,39.54
140,9787351279327,Le fil rouge volume 3,Herve Le Tellier,Jeunesse,Livre,2000,MED-SEC,41.46
39,9786837328247,Terres promises II,Riad Sattouf,Essai,DVD,2009,MED-VIL,40.93
1,9787685370089,Les jours heureux,Zep,Essai,Livre numerique,2018,MED-ARM,22.92
264,9786487850895,Mille soleils II,Pierre Lemaitre,Essai,Livre,2011,MED-ROU,22.14
149,9786998100411,La part du fleuve II,Emmanuel Lepage,Poesie,Livre numerique,2000,MED-ROU,29.51
139,9782311689940,Sous les branches,Herve Le Tellier,Essai,Livre,2013,MED-SEC,9.58
128,9783651753580,Les corps flottants I,Herve Le Tellier,BD,Livre,2019,MED-VIL,14.56
93,9783320211987,La maison vide,Jean-Paul Dubois,Roman,DVD,2016,MED-TOU,14.52
370,9788762553161,Une saison douce tome 2,Catherine Meurisse,Poesie,DVD,2017,MED-TOU,42.04
120,9786665755942,L'anomalie,Emmanuel Lepage,Jeunesse,Livre,2006,MED-SEC,38.08
249,9785197471156,Les hautes collines volume 3,Delphine de Vigan,BD,Livre,2000,MED-SEC,33.52
288,9787111456718,La part du fleuve volume 3,Leila Slimani,Poesie,Livre,2005,MED-SEC,28.98
397,9785349286653,Le fil rouge II,Virginie Despentes,Poesie,CD,2003,MED-ROU,20.84
209,9786108422960,Ceux qui restent tome 2,Fred Vargas,Essai,CD,2013,MED-VIL,14.08
366,9787966054135,L'atelier des jours,Riad Sattouf,Jeunesse,DVD,2015,MED-VIL,35.19
113,9784854649967,Les jours heureux tome 2,Fred Vargas,Policier,Livre numerique,2007,MED-TOU,31.53
91,9785154995083,Reparer les vivants,Riad Sattouf,Essai,Livre,2025,MED-TOU,9.1
407,9783816700398,L'atelier des jours,Catherine Meurisse,Manga,CD,,MED-SEC,15.37
306,9781428700139,Terres promises II,Herve Le Tellier,Manga,CD,2019,MED-ROU,7.24
376,9783833071953,L'atelier des jours tome 2,Catherine Meurisse,Manga,Livre numerique,2023,MED-SEC,30.3
176,9787835462674,Nord perdu II,Catherine Meurisse,Manga,CD,2010,MED-ROU,44.5
412,9781522249312,Terres promises,Pierre Lemaitre,Documentaire,DVD,2006,MED-ROU,19.29
14,9783344208658,L'atelier des jours,Jean-Paul Dubois,BD,DVD,2002,MED-SEC,25.44
49,9788796570265,Les jours heureux volume 3,Catherine Meurisse,Poesie,Livre,2001,MED-LIL,36.27
415,9783835327360,L'atelier des jours tome 2,Maylis de Kerangal,Essai,Livre,2013,MED-LIL,8.01
197,9782850061625,Rivages II,Zep,BD,Livre,2016,MED-ARM,30.23
351,9787970876692,Les corps flottants,Marjane Satrapi,Manga,Livre,2016,MED-TOU,35.98
277,9782334270261,La maison vide,Riad Sattouf,Jeunesse,DVD,,MED-LIL,20.21
125,9783060745180,Une saison douce tome 2,Delphine de Vigan,Manga,Livre,2023,MED-LIL,29.33
36,9783549709526,Terres promises,Emmanuel Lepage,BD,DVD,2002,MED-LIL,31.18
59,9783891126850,Nord perdu II,MARJANE SATRAPI,Jeunesse,Livre,2012,MED-ARM,21.97
324,9785782781052,Le chant des vivants,Marjane Satrapi,Documentaire,Livre,2018,MED-ARM,39.66
384,9783516812359,Mille soleils,Virginie Despentes,BD,Livre,2013,MED-LIL,9.16
76,9781678890499,L'anomalie,Pierre Lemaitre, Documentaire ,CD,2020,MED-VIL,12.98
38,9789039007922,Sous les branches,Marjane Satrapi,Poesie,Livre numerique,2025,MED-ROU,27.68
339,9784261888470,La part du fleuve,Virginie Despentes,Essai,Livre,2018,MED-TOU,5.76
220,9785271313237,Les hautes collines,Virginie Despentes,Poesie,Livre,2022,MED-ROU,16.11
108,9789844085815,Comme un lundi volume 3,Herve Le Tellier,Roman,Livre numerique,2018,MED-ARM,25.8
56,9788308711326,Les hautes collines,Pierre Lemaitre,Poesie,DVD,1998,MED-SEC,29.66
17,9785816259704,L'atelier des jours tome 2,Jean-Paul Dubois,BD,Livre,2012,MED-ARM,26.02
224,9788304793249,Le bruit du temps tome 2,Pierre Lemaitre,Manga,CD,1998,MED-VIL,30.98
408,9788398160261,Le bruit du temps,Alice Zeniter,Essai,CD,2023,MED-VIL,35.04
12,9785295886288,La part du fleuve I,Nicolas Mathieu,Policier,DVD,2000,MED-ROU,15.29
126,9781234798612,Le fil rouge,Zep,Poesie,Livre,,MED-TOU,20.67
20,9785108511848,Le chant des vivants,Pierre Lemaitre,BD,Livre,2004,MED-TOU,22.3
293,9782406076621,Ceux qui restent,Catherine Meurisse,Essai,Livre,2018,MED-LIL,
50,9786635109742,L'anomalie,Zep,Documentaire,Livre,2022,MED-TOU,22.59
21,9782309575318,La part du fleuve,Delphine de Vigan,BD,Livre,2010,MED-VIL,25.16
200,9783118448068,La maison vide,Fred Vargas,Manga,DVD,2025,MED-ROU,44.55
346,9786891936755,Le dernier train volume 3,Riad Sattouf,BD,Livre numerique,2014,MED-SEC,32.14
148,9787881183939,Rivages II,Pierre Lemaitre,Jeunesse,Livre numerique,2010,MED-VIL,16.8
333,9789443793199,Terres promises tome 2,Delphine de Vigan,Roman,Livre,2002,MED-VIL,23.08
4,9788348097760,Le fil rouge,Delphine de Vigan,Essai,Livre,2007,MED-LIL,21.25
44,9784381186517,Reparer les vivants,Pierre Lemaitre,Jeunesse,Livre,2019,MED-ARM,16.78
110,9789201446236,Le chant des vivants volume 3,Emmanuel Lepage,Documentaire,DVD,2010,MED-ARM,20.43
350,9782804327710,La part du fleuve,Leila Slimani,Jeunesse,Livre numerique,2000,MED-ROU,33.03
134,9784807691977,Ceux qui restent tome 2,Leila Slimani,Essai,Livre,1998,MED-LIL,19.7
411,9788207756930,Rivages tome 2,Riad Sattouf,Essai,Livre,2013,MED-VIL,35.84
392,9787339037588,La maison vide II,Zep,Poesie,Livre,2013,MED-LIL,12.4
119,9784375386501,Terres promises,Marjane Satrapi,Documentaire,Livre,2011,MED-LIL,21.71
5,9787403928141,Comme un lundi I,Catherine Meurisse,Jeunesse,Livre numerique,2011,MED-VIL,27.78
122,9785994964948,Terres promises,Emmanuel Lepage,Jeunesse,Livre,2012,MED-TOU,9.86
216,9789558749268,Le fil rouge tome 2,Catherine Meurisse,Essai,Livre,2001,MED-SEC,31.94
215,9781267444947,Les corps flottants I,Nicolas Mathieu,Poesie,CD,2000,MED-TOU,42.58
16,9788876110267,Les jours heureux I,Riad Sattouf,Poesie,Livre numerique,1999,MED-LIL,6.51
375,9781153590015,Sous les branches I,Marjane Satrapi,BD,Livre,2017,MED-LIL,28.59
67,9788994276323,Rivages II,Zep,Essai,Livre,2023,MED-ARM,32.3
179,9787785940292,Le chant des vivants II,Nicolas Mathieu,Poesie,Livre,2015,MED-TOU,14.25
383,9786559797970,Sous les branches II,Leila Slimani,Policier,Livre,2015,MED-LIL,36.83
236,9788045276632,Le bruit du temps,Jean-Paul Dubois,Roman,DVD,2021,MED-ARM,34.08
272,9781268309749,Les jours heureux volume 3,Catherine Meurisse,Jeunesse,Livre,2020,MED-ROU,20.87
35,9781634295292,Le dernier train tome 2,Maylis de Kerangal,Roman,Livre,2023,MED-ARM,24.41
282,9786092299519,L'anomalie II,Nicolas Mathieu,Essai,Livre,2010,MED-VIL,23.15
322,9786941037091,Mille soleils II,Virginie Despentes,BD,CD,2005,MED-SEC,7.93
160,9785450407653,Reparer les vivants I,Alice Zeniter,Essai,Livre,2004,MED-SEC,26.4
24,9783312319096,Une saison douce,Fred Vargas,Jeunesse,DVD,2023,MED-ARM,34.37
183,9788109872113,Ceux qui restent I,Alice Zeniter,Roman,Livre numerique,2017,MED-LIL,18.33
100,9781416979212,La maison vide,Riad Sattouf,Essai,Livre numerique,2016,MED-ROU,29.49
265,9781883735838,Le dernier train,Maylis de Kerangal,Jeunesse,CD,2006,MED-SEC,9.55
210,9788384520396,Ceux qui restent I,Delphine de Vigan,Roman,Livre numerique,2020,MED-LIL,8.57
